City ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Jamestown,US,2022-11-21 18:39:02,42.097,-79.2353,39.18,34,0,19.57
1,San Jose,US,2022-11-21 18:40:06,37.3394,-121.895,64.42,49,75,5.01
2,Flinders,AU,2022-11-21 18:40:46,-34.5833,150.8552,53.19,58,2,11.99
3,Sibu,MY,2022-11-21 18:40:47,2.3,111.8167,77.31,88,40,5.01
4,Mataura,NZ,2022-11-21 18:40:47,-46.1927,168.8643,50.49,84,57,3.06
5,Kapaa,US,2022-11-21 18:40:48,22.0752,-159.319,77.47,77,100,19.57
6,Bredasdorp,ZA,2022-11-21 18:40:48,-34.5322,20.0403,61.25,70,100,4.16
7,Georgetown,MY,2022-11-21 18:40:49,5.4112,100.3354,82.24,88,40,2.3
8,Burnie,AU,2022-11-21 18:40:50,-41.0667,145.9167,40.95,87,98,13.38
9,Honiara,SB,2022-11-21 18:40:50,-9.4333,159.95,76.21,84,56,5.55
10,Stepnogorsk,KZ,2022-11-21 18:40:51,52.3544,71.8869,11.91,91,6,8.43
11,Airai,TL,2022-11-21 18:40:51,-8.9266,125.4092,62.53,92,100,1.57
12,Busselton,AU,2022-11-21 18:40:52,-33.65,115.3333,55.4,71,0,12.73
13,Souillac,MU,2022-11-21 18:40:53,-20.5167,57.5167,71.98,83,20,3.44
14,Geraldton,AU,2022-11-21 18:40:53,-28.7667,114.6,68.41,45,40,4.61
15,Amga,RU,2022-11-21 18:40:54,60.8953,131.9608,-29.85,100,100,1.77
16,Severo-Kurilsk,RU,2022-11-21 18:38:46,50.6789,156.125,41.02,85,100,20.31
17,Ushuaia,AR,2022-11-21 18:40:55,-54.8,-68.3,53.26,54,75,14.97
18,Sioux Lookout,CA,2022-11-21 18:40:55,50.1001,-91.917,23.07,68,75,13.8
19,Vaini,TO,2022-11-21 18:40:56,-21.2,-175.2,75.36,88,40,3.44
20,Ponta Do Sol,PT,2022-11-21 18:40:57,32.6667,-17.1,68.63,62,0,1.88
21,Hofn,IS,2022-11-21 18:40:58,64.2539,-15.2082,42.82,87,75,10.36
22,Shimoda,JP,2022-11-21 18:40:58,34.6667,138.95,61.21,80,40,5.08
23,East London,ZA,2022-11-21 18:40:33,-33.0153,27.9116,70.74,83,0,6.91
24,Rikitea,PF,2022-11-21 18:40:59,-23.1203,-134.9692,72.03,85,92,11.01
25,Bluff,NZ,2022-11-21 18:41:00,-46.6,168.3333,50.81,76,71,8.9
26,Adrar,MR,2022-11-21 18:41:01,20.5022,-10.0711,73.31,15,0,11.81
27,Mar Del Plata,AR,2022-11-21 18:39:42,-38.0023,-57.5575,61.09,94,100,15.99
28,New Norfolk,AU,2022-11-21 18:41:02,-42.7826,147.0587,42.71,79,73,1.99
29,Avarua,CK,2022-11-21 18:41:03,-21.2078,-159.775,75.25,69,75,9.22
30,Saint-Paul,RE,2022-11-21 18:36:55,-21.0096,55.2707,75.31,79,1,11.63
31,Charters Towers,AU,2022-11-21 18:41:05,-20.1,146.2667,80.6,27,100,8.61
32,Mahebourg,MU,2022-11-21 18:41:06,-20.4081,57.7,75.25,83,20,3.44
